external_name,internal_name,category_label,match
Croydex 2 Tier Corner Basket - Large,"For those that probably have one too many bath and beauty accessories, this large two tier corner basket provides all the necessary storage space to keep them all organised. The ideal space saving solution to keep your bathroom clutter free, this product is made from durable chrome plated mild steel, which is sure to stand the test of time.

5 year rust free guarantee
All fixings included",Bathrooms & Plumbing Clearance,1
Croydex Hook-Over 3 Tier Basket,"This classic Hook Over Three Tier Basket eliminates the need for drills as it simply hooks over the shower screen to provide a practical yet stylish solution to storing your toiletries. The three tier design provides plenty of options for all your essentials and it's durable steel construction means it is sure to stand the test of time.

5 year rust free guarantee
Chrome plated mild steel
All fixings included",Bathrooms & Plumbing Clearance,1
Methven Aurajet Mixer Shower,"The Aurajet Aio is and award winning handset with a luxurious spray pattern. Safe for all the family with a cool to touch thermostatic shower valve and 38C temperature hot stop (with override for those that prefer a warmer shower).

This stunning halo shaped AIO shower head uses Methven Aurajet technology to deliver the most invigorating shower experience.  It turns conventional showering on its head.  Fitted with a 9L/Min flow regulator to save wasting water
This thermostatic shower has a safe cool to touch body so no risk of scalding
38Â°C hot stop that you can override if you like a hotter shower but is safer for the young and the old
Includes easy fit connections so easy for DIY
The Easy Fit Rail Kit is easy to fit, is fully removable and is perfect for all properties",Bathrooms & Plumbing Clearance,1
Rust-Oleum Satin Furniture Paint - Carbon - 750ml,"Rust-Oleum Satin Finish Furniture Paint adds a timeless mid-sheen lustre to any piece of furniture. The superior silk touch satin finish comes in an elegant palette of nine soothing shades and has been carefully curated to enhance contemporary interiors. Apply directly to furniture in one easy application. The paint can be used directly onto wood (bare or painted), brick, stone, plaster or any suitably primed rigid surface (metal, plastic etc).Rust-Oleum Satin Finish Furniture Paint is Toy Safe, subject to Toy Standard Testing: BS EN 71-3: 2013 + A1:2014, Migration of Certain Elements. Application - Stir thoroughly prior to use. The product may be applied by brush or roller. If applying by brush, apply evenly following the grain of the wood. If rollering, use a short nap mohair roller. Two coats recommended. Coverage - Up to 14m2/litre per coat. Coverage may vary depending upon method and rate of application and porosity of surface.Drying Time - Touch dry in 1 hour. Handle after 4 hours. Apply a second coat after 4 hours if necessary. Full hardness after 4 hours.

Water based with virtually no odour
Silk touch satin finish
Highly concentrated with exceptional coverage in one coat
No priming or sanding necessary on most surfaces (simply ensure surfaces are smooth, dry and free from contaminants)
Interior use only",Renovation Paint,1
Rust-Oleum Chalky Furniture Paint - Hessian - 750ml,"Renovate and transform furniture with Rust-Oleum Chalky Finish Furniture Paint. With a classic, smooth touch, flat matt finish, it brings a new lease of life to tired, worn-out objects. The paint can be used directly onto wood (bare or painted), brick, stone, plaster or any suitably primed rigid surface (metal, plastic etc.). Create a distressed look by applying two coats in contrasting colours then sanding/ scouring when dry. Protect the finish with either Rust-Oleum Furniture Finishing Wax or Rust-Oleum Furniture Lacquer. Application - Stir thoroughly prior to use. The product may be applied by brush or roller. If applying by brush, apply evenly following the grain of the wood. If rollering, use a short nap mohair roller. Coverage - Up to 14m2/litre per coat. Coverage may vary depending upon method and rate of application and porosity of surface. Drying Time - Touch dry in 1 hour. Handle after 4 hours. Apply a second coat after 4 hours if necessary. Full hardness after 4 hours.

Water-based with virtually no odour
Exceptional coverage in just one coat
No priming or sanding necessary on most surfaces
Smooth, chalky matt finish
Interior use only",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Pebble - 2L","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Rust-Oleum Chalky Furniture Paint - Flint - 750ml,"Renovate and transform furniture with Rust-Oleum Chalky Finish Furniture Paint. With a classic, smooth touch, flat matt finish, it brings a new lease of life to tired, worn-out objects. The paint can be used directly onto wood (bare or painted), brick, stone, plaster or any suitably primed rigid surface (metal, plastic etc.). Create a distressed look by applying two coats in contrasting colours then sanding/ scouring when dry. Protect the finish with either Rust-Oleum Furniture Finishing Wax or Rust-Oleum Furniture Lacquer. Application - Stir thoroughly prior to use. The product may be applied by brush or roller. If applying by brush, apply evenly following the grain of the wood. If rollering, use a short nap mohair roller. Coverage - Up to 14m2/litre per coat. Coverage may vary depending upon method and rate of application and porosity of surface. Drying Time - Touch dry in 1 hour. Handle after 4 hours. Apply a second coat after 4 hours if necessary. Full hardness after 4 hours.

Water-based with virtually no odour
Exceptional coverage in just one coat
No priming or sanding necessary on most surfaces
Smooth, chalky matt finish
Interior use only",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Cool White -750ml","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Inky Blue - 2L","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Maison Deco Refresh Bathroom Wall Tile Paint Cool White - 2L,"Breathe new life into your bathroom and update those tired, dated tiles with just a paint brush Refresh Bathroom Paint is specially designed to update tiled surfaces in heavy-use wet environments including shower enclosures. Its formula creates a protective film that ensures high resistance to repeated exposure to water and changes in temperature.This low VOC paint is suitable over Porcelain tiles, Ceramic tiles, Limestone/Slate tiles, Glass tiles, Wood (varnished, painted), Laminate and Melamine.Refresh Bathroom Paint requires no undercoat, adhering directly to difficult surfaces such as tiles. Simply apply two coats with a short pile roller or brush to easily transform bathroom surfaces. Note, melamine and previously coated wood will require a sand before applying.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh  range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh  and liven up your Home.

Ultra adherent
Waterproof barrier
Extremely durable
Simple and easy application with no undercoat required
Resistant to both body care and domestic cleaning products",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Graphite -750ml","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Dulux Easycare Washable & Tough Washable & Tough Pure Brilliant White - 10L,"Dulux Easycare Washable and Tough Matt uses unique stain repellent technology to repel liquid spills, making them easier to wash away. It is 20 times tougher than standard Dulux Matt so you can remove stubborn marks without damaging the paint on your wall, keeping your home looking great for longer.

 Stain repellent technology repels liquid stains
20 x tougher than standard Dulux Matt
 Water Based
 Walls and ceilings
 Drying time recommended 2 - 4 hours",Renovation Paint,1
Maison Deco Refresh Bathroom Wall Tile Paint Graphite -750ml,"Breathe new life into your bathroom and update those tired, dated tiles with just a paint brush Refresh Bathroom Paint is specially designed to update tiled surfaces in heavy-use wet environments including shower enclosures. Its formula creates a protective film that ensures high resistance to repeated exposure to water and changes in temperature.This low VOC paint is suitable over Porcelain tiles, Ceramic tiles, Limestone/Slate tiles, Glass tiles, Wood (varnished, painted), Laminate and Melamine.Refresh Bathroom Paint requires no undercoat, adhering directly to difficult surfaces such as tiles. Simply apply two coats with a short pile roller or brush to easily transform bathroom surfaces. Note, melamine and previously coated wood will require a sand before applying.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh  range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh  and liven up your Home.

Ultra adherent
Waterproof barrier
Extremely durable
Simple and easy application with no undercoat required
Resistant to both body care and domestic cleaning products",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Concrete Effect  - 375ml","Create the appearance of unpolished concrete across your kitchen surfaces to inject a modern, industrial feel into your Home. With Refresh Kitchen Concrete Effect Paint . This two-Step system is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease.This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Glass, Stainless Steel and Aluminium.Refresh Kitchen Concrete Effect Paint requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats of the base coat and one coat of the top coat with a short pile roller. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply Refresh  Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh  range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh  and liven up your Home.

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Annie Sloan Clear Wax - 500ml,"Use Clear Chalk Paint Wax to seal and protect furniture and walls painted with Chalk Paint decorative paint. Chalk Paint Wax emphasises depth of colour and gives a beautiful mellow finish, or can be buffed to a high sheen.Please allow an additional 5 days for delivery to Isles, Scottish Highlands, Northern Ireland, Republic of Ireland and other remote locations.

Seals and protects furniture and walls painted with Chalk Paint
Can be buffed to a high sheen
Emphasises depth of colour
Toy safe",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Sage -750ml","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Inky Blue -750ml","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Rust Effect  - 375ml","Create the appearance of rust across your kitchen surfaces to bring a warm, natural feel into your Home. With Refresh Rust Effect Paint. This two-Step system is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease.This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Glass, Stainless Steel and Aluminium. Refresh Rust Effect Paint requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats of the base coat and one coat of the top coat with a short pile roller. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply Refresh Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh and liven up your Home.

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Natural Wood Effect  - 375ml","By recreating the grain and colour of wood, Refresh Kitchen Wood Effect Paint is used to easily transform surfaces of a kitchen into a beautiful wooden finish with added texture and brightness. This two-Step system is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease.This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Glass, Stainless Steel and Aluminium.Refresh Kitchen Wood Effect Paint requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply one coat of the base coat and one coat of the top coat with the Refresh Small Brush. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply Refresh  Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh and liven up your Home.

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Rust-Oleum Gloss Furniture Paint - White Frost - 750ml,"Rust-Oleum Gloss Finish Furniture Paint provides a sleek high-sheen finish for furniture, adding durable, lasting protection. The chic colour palette has been carefully selected to add a cool, modern twist to even the most dated piece of furniture. Apply directly to furniture in one easy application. The paint can be used directly onto wood (bare or painted), brick, stone, plaster or any suitably primed rigid surface (metal, plastic etc).Rust-Oleum Gloss Finish Furniture Paint is Toy Safe Toy Standard Testing: BS EN 71-3: 2013 + A1:2014, Migration of Certain Elements. Application - Stir thoroughly prior to use. The product may be applied by brush or roller. If applying by brush, apply evenly following the grain of the wood. If rollering, use a short nap mohair roller. Two coats recommended. Coverage - Up to 14m2/litre per coat. Coverage may vary depending upon method and rate of application and porosity of surface. Drying Time - Touch dry in 1 hour. Handle after 4 hours. Apply a second coat after 4 hours if necessary. Full hardness after 4 hours.

Modern high sheen gloss finish
Highly concentrated
Exceptional coverage in one coat
No priming or sanding necessary on most surfaces (simply ensure surfaces are smooth, dry and free from contaminants)
Interior use only",Renovation Paint,1
Dulux Bathroom Plus Pure Brilliant White - Tile Paint - 600ml,"This Dulux Bathroom Plus Tile paint creates a strong waterproof barrier on your tiles, ideal for use in shower units.",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Forest Green - 2L","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Annie Sloan Oxford Navy Chalk Paint - 120ml,"Oxford Navy is an inky, traditional navy blue Chalk Paint colour which evokes the strong, august blue of academic insignia and fountain pens, as well as the rich pigment indigo blue so synonymous with traditional Indian block printing.Please allow an additional 5 days for delivery to Isles, Scottish Highlands, Northern Ireland, Republic of Ireland and other remote locations.

Can be applied to almost every surface
No need for sanding or priming
Chalky matt finish
Made in Oxford",Renovation Paint,1
Thorndown Swan White Peelable Glass Paint 750ml,"Swan White is a pure, brilliant white opaque glass paint. This pure white will glide effortlessly when applied, just as a swan glides gracefully through water. Thorndown’s revolutionary water-based Peelable Glass Paint is made from a resin using 100% recycled plastics & old coatings can be returned to us for recycling! Whether you want practical shading or your own stained glass, we have a gorgeous range of opaque and translucent colours.Painted on any shiny surface it is great for shading or privacy that you can simply peel off to remove! Can also be used for temporary decorations at Christmas, Halloween and parties or as a permanent paint for craft projects like tiles, mirrors, shower screens etc. It’s easy to shade or colour any glass or shiny surface with Thorndown Peelable Glass Paint, allowing you to be as creative as you like. It is non-toxic, virtually VOC free (Volatile Organic Compounds 0.05%) and halogen free with a low carbon foot print.This ready to use paint covers 12 square meters per litre and can be used inside or outside providing a durable, water repellent coating. A one coat product but a second coat will increase the opacity of coating. As well as glass, it can even be applied to polycarbonate and acrylic glazing. Whether you brush, roller, spray or mix colours, we want it to be simple and fun with results you can be proud of.

Proudly made in England
Paint on glass or any shiny surface and peel cleanly off when no longer needed
Ideal for greenhouse or conservatory shading & helps reduce internal temperatures
Stencil onto glass doors for safe glass awareness or to create privacy glass
Non toxic and made from 100% recycled plastics",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Cool White - 2L","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Maison Deco Refresh Bathroom Wall Tile Paint Inky Blue -750ml,"Breathe new life into your bathroom and update those tired, dated tiles with just a paint brush Refresh Bathroom Paint is specially designed to update tiled surfaces in heavy-use wet environments including shower enclosures. Its formula creates a protective film that ensures high resistance to repeated exposure to water and changes in temperature.This low VOC paint is suitable over Porcelain tiles, Ceramic tiles, Limestone/Slate tiles, Glass tiles, Wood (varnished, painted), Laminate and Melamine.Refresh Bathroom Paint requires no undercoat, adhering directly to difficult surfaces such as tiles. Simply apply two coats with a short pile roller or brush to easily transform bathroom surfaces. Note, melamine and previously coated wood will require a sand before applying.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh  range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh  and liven up your Home.

Ultra adherent
Waterproof barrier
Extremely durable
Simple and easy application with no undercoat required
Resistant to both body care and domestic cleaning products",Renovation Paint,1
Annie Sloan Primer Red Chalk Paint - 120ml,"Primer Red is a dark red Chalk Paint™ colour found in practically every culture, appearing in everything from Venetian palaces to Vietnamese temples, where red earths were plentiful and relatively easy to come by. Use it for rustic pieces or as a base for sophisticated colours like Château Grey or Versailles. It also works beautifully under gilding.

Can be applied to almost every surface
No need for sanding or priming
Chalky matt finish
Made in Oxford
Chalk Paint requires sealing with Chalk Paint Wax or Lacquer – sold separately",Renovation Paint,1
Annie Sloan Athenian Black Chalk Paint - 1L,"Athenian Black is a true, deep black Chalk Paint™ colour developed to reflect the opaque figures and dramatic silhouetted shapes painted on Ancient Greek ceramics.

Can be applied to almost every surface
No need for sanding or priming
Chalky matt finish
Made in Oxford
Chalk Paint requires sealing with Chalk Paint Wax or Lacquer – sold separately",Renovation Paint,1
Annie Sloan Athenian Black Chalk Paint - 120ml,"Athenian Black is a true, deep black Chalk Paint colour developed to reflect the opaque figures and dramatic silhouetted shapes painted on Ancient Greek ceramics.Please allow an additional 5 days for delivery to Isles, Scottish Highlands, Northern Ireland, Republic of Ireland and other remote locations.

Can be applied to almost every surface
No need for sanding or priming
Chalky matt finish
Made in Oxford",Renovation Paint,1
Annie Sloan Florence Chalk Paint - 120ml,"Florence is a sophisticated teal green Chalk Paint™ colour found in neoclassical Italian and French interiors and on painted furniture. The colour originates from copper green minerals and malachite. It’s also a great modern 20th Century colour.

Can be applied to almost every surface
No need for sanding or priming
Chalky matt finish
Made in Oxford
Chalk Paint requires sealing with Chalk Paint Wax or Lacquer – sold separately",Renovation Paint,1
"Maison Deco Refresh Kitchen Cupboards, Worktops & Splashbacks Paint Pebble -750ml","Renovate your whole kitchen without needing to pick up a hammer. REFRESH KITCHEN PAINT is specially designed to update high-use surfaces such as cupboards, worktops and splashbacks. It has been developed to withstand all that life can throw at a kitchen including water, stains and grease. This low VOC paint is suitable over Laminate, Melamine, Wood (bare, varnished, painted), Tiles, Glass, Stainless Steel and Aluminium.REFRESH KITCHEN PAINT requires no undercoat, adhering directly to difficult surfaces such as tiles and melamine. Simply apply two coats with a short pile roller or brush to easily transform kitchen surfaces. Note, melamine and previously coated wood will require a sand before applying. On horizontal surfaces like worktops and on splashbacks, it is essential to apply REFRESH Kitchen Extra Strong Varnish for ultimate protection.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The REFRESH range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, refresh and liven up your home!

Ultra-resistant to stains & scratches
Water-resistant
Extremely durable
Simple and easy application with no undercoat required
Washable for easy cleaning",Renovation Paint,1
Rust-Oleum Satin Furniture Paint - Mocha - 750ml,"Rust-Oleum Satin Finish Furniture Paint adds a timeless mid-sheen lustre to any piece of furniture. The superior silk touch satin finish comes in an elegant palette of nine soothing shades and has been carefully curated to enhance contemporary interiors. Apply directly to furniture in one easy application. The paint can be used directly onto wood (bare or painted), brick, stone, plaster or any suitably primed rigid surface (metal, plastic etc).Rust-Oleum Satin Finish Furniture Paint is Toy Safe, subject to Toy Standard Testing: BS EN 71-3: 2013 + A1:2014, Migration of Certain Elements. Application - Stir thoroughly prior to use. The product may be applied by brush or roller. If applying by brush, apply evenly following the grain of the wood. If rollering, use a short nap mohair roller. Two coats recommended. Coverage - Up to 14m2/litre per coat. Coverage may vary depending upon method and rate of application and porosity of surface.Drying Time - Touch dry in 1 hour. Handle after 4 hours. Apply a second coat after 4 hours if necessary. Full hardness after 4 hours.

Water based with virtually no odour
Silk touch satin finish
Highly concentrated with exceptional coverage in one coat
No priming or sanding necessary on most surfaces (simply ensure surfaces are smooth, dry and free from contaminants)
Interior use only",Renovation Paint,1
Maison Deco Refresh Bathroom Wall Tile Paint Pebble - 2L,"Breathe new life into your bathroom and update those tired, dated tiles with just a paint brush Refresh Bathroom Paint is specially designed to update tiled surfaces in heavy-use wet environments including shower enclosures. Its formula creates a protective film that ensures high resistance to repeated exposure to water and changes in temperature.This low VOC paint is suitable over Porcelain tiles, Ceramic tiles, Limestone/Slate tiles, Glass tiles, Wood (varnished, painted), Laminate and Melamine.Refresh Bathroom Paint requires no undercoat, adhering directly to difficult surfaces such as tiles. Simply apply two coats with a short pile roller or brush to easily transform bathroom surfaces. Note, melamine and previously coated wood will require a sand before applying.With a passion for colour and finishes, Maison Deco combines technical know-how and decoration expertise to make renovation projects more than just a dream. The Refresh  range allows you to breathe new life into your interiors, inspiring endless possibilities of renovating. Say goodbye to drab and dated decors, Refresh  and liven up your Home.

Ultra adherent
Waterproof barrier
Extremely durable
Simple and easy application with no undercoat required
Resistant to both body care and domestic cleaning products",Renovation Paint,1
